
Aktive Verbindungen

  Proto  Lokale Adresse         Remoteadresse          Status           PID
  TCP    10.49.213.105:63721    10.49.213.150:7680     HERGESTELLT     15796
  TCP    10.49.213.105:63979    10.49.210.253:8080     HERGESTELLT     41156
  TCP    10.49.213.105:63981    216.239.38.223:443     HERGESTELLT     24396
  TCP    10.49.213.105:63987    216.239.38.223:443     WARTEND         0
  TCP    10.49.213.105:63988    10.49.210.253:8080     HERGESTELLT     32384
  TCP    10.49.213.105:64406    10.1.13.8:7680         HERGESTELLT     15796
  TCP    10.49.213.105:64669    10.49.214.62:7680      HERGESTELLT     15796
  TCP    10.49.213.105:64921    10.49.210.253:8080     HERGESTELLT     6696
  TCP    10.49.213.105:64922    52.107.243.220:443     HERGESTELLT     32384
  TCP    10.49.213.105:65011    10.49.210.253:8080     HERGESTELLT     20252
  TCP    10.49.213.105:65081    10.49.217.66:443       HERGESTELLT     41156
  TCP    10.49.213.105:65122    10.49.210.253:8080     WARTEND         0
  TCP    10.49.213.105:65125    34.54.84.110:443       WARTEND         0
  TCP    10.49.213.105:65134    10.49.210.253:8080     HERGESTELLT     41156
  TCP    10.49.213.105:65141    10.49.214.19:7680      SYN_GESENDET    15796
  TCP    10.49.213.105:65142    10.49.213.163:7680     SYN_GESENDET    15796
  TCP    127.0.0.1:4502         0.0.0.0:0              ABHÖREN         24480
  TCP    127.0.0.1:5354         0.0.0.0:0              ABHÖREN         6396
  TCP    127.0.0.1:5354         127.0.0.1:59147        HERGESTELLT     6396
  TCP    127.0.0.1:5354         127.0.0.1:59148        HERGESTELLT     6396
  TCP    127.0.0.1:5939         0.0.0.0:0              ABHÖREN         6984
  TCP    127.0.0.1:5939         127.0.0.1:63136        HERGESTELLT     6984
  TCP    127.0.0.1:9300         0.0.0.0:0              ABHÖREN         6716
  TCP    127.0.0.1:9301         0.0.0.0:0              ABHÖREN         6716
  TCP    127.0.0.1:27015        0.0.0.0:0              ABHÖREN         23436
  TCP    127.0.0.1:37014        0.0.0.0:0              ABHÖREN         6984
  TCP    127.0.0.1:37114        0.0.0.0:0              ABHÖREN         6984
  TCP    127.0.0.1:49688        0.0.0.0:0              ABHÖREN         6464
  TCP    127.0.0.1:49688        127.0.0.1:53622        WARTEND         0
  TCP    127.0.0.1:49688        127.0.0.1:53628        WARTEND         0
  TCP    127.0.0.1:49688        127.0.0.1:53633        WARTEND         0
  TCP    127.0.0.1:49688        127.0.0.1:57698        WARTEND         0
  TCP    127.0.0.1:49688        127.0.0.1:57741        WARTEND         0
  TCP    127.0.0.1:49688        127.0.0.1:57750        WARTEND         0
  TCP    127.0.0.1:49688        127.0.0.1:57770        WARTEND         0
  TCP    127.0.0.1:49688        127.0.0.1:63982        WARTEND         0
  TCP    127.0.0.1:50174        0.0.0.0:0              ABHÖREN         38856
  TCP    127.0.0.1:50174        127.0.0.1:50191        HERGESTELLT     38856
  TCP    127.0.0.1:50174        127.0.0.1:50192        HERGESTELLT     38856
  TCP    127.0.0.1:50174        127.0.0.1:50720        HERGESTELLT     38856
  TCP    127.0.0.1:50174        127.0.0.1:50737        HERGESTELLT     38856
  TCP    127.0.0.1:50174        127.0.0.1:53873        WARTEND         0
  TCP    127.0.0.1:50174        127.0.0.1:55633        HERGESTELLT     38856
  TCP    127.0.0.1:50174        127.0.0.1:60517        HERGESTELLT     38856
  TCP    127.0.0.1:50174        127.0.0.1:60572        HERGESTELLT     38856
  TCP    127.0.0.1:50174        127.0.0.1:63471        HERGESTELLT     38856
  TCP    127.0.0.1:50174        127.0.0.1:63980        WARTEND         0
  TCP    127.0.0.1:50177        0.0.0.0:0              ABHÖREN         24904
  TCP    127.0.0.1:50177        127.0.0.1:50178        HERGESTELLT     24904
  TCP    127.0.0.1:50177        127.0.0.1:56771        HERGESTELLT     24904
  TCP    127.0.0.1:50178        127.0.0.1:50177        HERGESTELLT     38856
  TCP    127.0.0.1:50179        0.0.0.0:0              ABHÖREN         24396
  TCP    127.0.0.1:50179        127.0.0.1:53701        HERGESTELLT     24396
  TCP    127.0.0.1:50179        127.0.0.1:53703        HERGESTELLT     24396
  TCP    127.0.0.1:50180        0.0.0.0:0              ABHÖREN         24396
  TCP    127.0.0.1:50180        127.0.0.1:55631        WARTEND         0
  TCP    127.0.0.1:50180        127.0.0.1:57775        WARTEND         0
  TCP    127.0.0.1:50180        127.0.0.1:57780        WARTEND         0
  TCP    127.0.0.1:50180        127.0.0.1:61244        WARTEND         0
  TCP    127.0.0.1:50190        0.0.0.0:0              ABHÖREN         24396
  TCP    127.0.0.1:50190        127.0.0.1:53702        HERGESTELLT     24396
  TCP    127.0.0.1:50191        127.0.0.1:50174        HERGESTELLT     24396
  TCP    127.0.0.1:50192        127.0.0.1:50174        HERGESTELLT     24396
  TCP    127.0.0.1:50485        0.0.0.0:0              ABHÖREN         2372
  TCP    127.0.0.1:50485        127.0.0.1:55627        HERGESTELLT     2372
  TCP    127.0.0.1:50486        0.0.0.0:0              ABHÖREN         2372
  TCP    127.0.0.1:50486        127.0.0.1:50566        HERGESTELLT     2372
  TCP    127.0.0.1:50486        127.0.0.1:52307        HERGESTELLT     2372
  TCP    127.0.0.1:50486        127.0.0.1:52376        HERGESTELLT     2372
  TCP    127.0.0.1:50486        127.0.0.1:62216        HERGESTELLT     2372
  TCP    127.0.0.1:50508        127.0.0.1:50509        HERGESTELLT     2372
  TCP    127.0.0.1:50509        127.0.0.1:50508        HERGESTELLT     2372
  TCP    127.0.0.1:50566        127.0.0.1:50486        HERGESTELLT     12196
  TCP    127.0.0.1:50720        127.0.0.1:50174        HERGESTELLT     24396
  TCP    127.0.0.1:50724        0.0.0.0:0              ABHÖREN         38856
  TCP    127.0.0.1:50737        127.0.0.1:50174        HERGESTELLT     24396
  TCP    127.0.0.1:52307        127.0.0.1:50486        HERGESTELLT     34272
  TCP    127.0.0.1:52376        127.0.0.1:50486        HERGESTELLT     19216
  TCP    127.0.0.1:52409        127.0.0.1:57109        HERGESTELLT     2716
  TCP    127.0.0.1:53335        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:53623        127.0.0.1:50485        WARTEND         0
  TCP    127.0.0.1:53628        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:53633        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:53636        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:53637        127.0.0.1:49688        WARTEND         0
  TCP    127.0.0.1:53674        127.0.0.1:53675        HERGESTELLT     6984
  TCP    127.0.0.1:53675        127.0.0.1:53674        HERGESTELLT     6984
  TCP    127.0.0.1:53701        127.0.0.1:50179        HERGESTELLT     43188
  TCP    127.0.0.1:53702        127.0.0.1:50190        HERGESTELLT     38856
  TCP    127.0.0.1:53703        127.0.0.1:50179        HERGESTELLT     38856
  TCP    127.0.0.1:54470        127.0.0.1:49688        WARTEND         0
